Program,University,Subject,Level,Type of Degree,EU Fees,Country,City
Business Administration,NHL Stenden University of Applied Sciences - Leeuwarden,Business,Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Leeuwarden
Business Administration,Nyenrode Business University,Business,Undergraduate,BSc,"€19,950",Netherlands,Utrecht
Business Administration,Radboud University,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Nijmegen
Business Administration,University of Amsterdam,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Amsterdam
Business Information Technology,University of Twente,"Business , IT",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Business Innovation,Inholland University of Applied Sciences - Amsterdam,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Amsterdam
Business Management in Agriculture and Food,HAS University of Applied Sciences - Venlo,"Business , Food",Undergraduate,Bachelor,"€ 2,060",Netherlands,Venlo
Carillon,HKU University of the Arts Utrecht,Music,Undergraduate,Bachelor of Music,"EUR 2,143",Netherlands,Utrecht
Celtic Languages and Culture,University of Utrecht,Culture,Undergraduate,BA,"€ 2,060",Netherlands,Utrecht
Ceramics,Gerrit Rietveld Academy,Design,Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Chemical Engineering (BSc),University of Groningen,"Engineering, Chemistry",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Chemical Engineering and Chemistry,Eindhoven University of Technology,"Engineering, Chemistry",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Chemical Science and Engineering,University of Twente,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Chemistry,HAN University of Applied Sciences - Nijmegen,Chemistry,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Nijmegen
Chemistry,HZ University of Applied Science,"Chemistry, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Vlissingen
Chemistry,Radboud University,"Chemistry, Natural Sciences",Undergraduate,BSc,"EUR 2,143",Netherlands,Nijmegen
Chemistry (BSc),University of Groningen,"Chemistry, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Chemistry (Fast Track),HZ University of Applied Science,"Chemistry, Natural Sciences",Undergraduate,BSc,"EUR 2,143",Netherlands,Vlissingen
Choreography,Amsterdam University of the Arts,Performing Arts,Undergraduate,Bachelor of Arts,"EUR 2,143",Netherlands,Amsterdam
Circus,Codarts University for the Arts Rotterdam,Performing Arts,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
Circus and Performance Arts,Fontys University of Applied Sciences - Tilburg,Performing Arts,Undergraduate,BA,"EUR 2,143",Netherlands,Tilburg
Civil Engineering,HZ University of Applied Science,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Vlissingen
Civil Engineering,University of Twente,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Civil Engineering (Fast Track),HZ University of Applied Science,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Vlissingen
Classical Music,Codarts University for the Arts Rotterdam,Music,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
Classical Music,Hanze University of Applied Sciences,"Music, Performing Arts",Undergraduate,Bachelor of Music,"EUR 2,143",Netherlands,Groningen
Classical Music,HKU University of the Arts Utrecht,Music,Undergraduate,Bachelor of Music,"EUR 2,143",Netherlands,Utrecht
Classical Music,Royal Academy of the Arts The Hague,Music,Undergraduate,Bachelor,"EUR 2,143",Netherlands,The Hague (Den Haag)
Classical Music,Zuyd University of Applied Sciences,Arts,Undergraduate,BA,"EUR 2,143",Netherlands,Maastricht
Cognitive Science and Artificial Intelligence,Tilburg University,Computer Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
Communication,HAN University of Applied Sciences - Arnhem,Media,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Arnhem
Communication & Media,Erasmus University Rotterdam,Media,Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Communication and Information Studies,University of Groningen,Communications,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Groningen
Communication and Information Studies - Language and Media,VU University Amsterdam,"Communication, Languages",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Communication and Information Studies - Language Learning and Language Teaching,VU University Amsterdam,Media,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Communication and Multimedia Design - User Experience,The Hague University of Applied Sciences,"Communication, Design",Undergraduate,BBA,"EUR 2,143",Netherlands,The Hague (Den Haag)
Communication Science,University of Amsterdam,"Communication, Media",Undergraduate,BSc,"EUR 2,143",Netherlands,Amsterdam
Communication Science,University of Twente,"Communication, Social Sciences",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Communication Science,VU University Amsterdam,Communication,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Communications - International Communications Management,Fontys University of Applied Sciences - Eindhoven,"Communications, Management",Undergraduate,BA,"EUR 2,143",Netherlands,Eindhoven
Comparative European History,Radboud University,History,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Nijmegen
Composition,Royal Conservatoire The Hague,Music,Undergraduate,BMus,"EUR 2,143",Netherlands,The Hague (Den Haag)
Computer Science,VU University Amsterdam,Computer Science,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Computer Science and Engineering,Delft University of Technology,"Computer Science, Engineering",Undergraduate,BSc,"EUR 2,143",Netherlands,Delft
Computer Science and Engineering,Eindhoven University of Technology,"Engineering, IT",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Computing Science,Radboud University,Computer Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Nijmegen
Computing Science (BSc),University of Groningen,"Computer Science, IT",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Creative Business,HU University of Applied Sciences Utrecht,Media,Undergraduate,BBA,"EUR 2,143",Netherlands,Utrecht
Creative Business,Inholland University of Applied Sciences - Haarlem,"Music, Media",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Haarlem
Creative Business (4 years),Breda University of Applied Sciences,"Media, Management",Undergraduate,BA,"EUR 2,143",Netherlands,Breda
"Creative Business (Fast track, 3 years)",Breda University of Applied Sciences,Media,Undergraduate,BA,"EUR 2,484",Netherlands,Breda
"Creative Business, Media Management",NHL Stenden University of Applied Sciences - Leeuwarden,"Media, Business",Undergraduate,Bachelor of Arts (BA),"EUR 2,143",Netherlands,Leeuwarden
"Creative Business, Media Management (Fast track)",NHL Stenden University of Applied Sciences - Leeuwarden,"Media, Management",Undergraduate,Bachelor of Arts (BA),"EUR 2,143",Netherlands,Leeuwarden
Creative Media and Game Technologies,Saxion University of Applied Sciences - Enschede,"Game Design, Computer Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Creative Media and Game Technologies (4 years),Breda University of Applied Sciences,"Game Design, Computer Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
"Creative Media and Game Technologies (Fast Track, 3 years)",Breda University of Applied Sciences,Game Design,Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
Creative Technology,University of Twente,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Cultural Anthropology and Development Sociology,Leiden University,Social Sciences,Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
Cultural Anthropology and Development Sociology,University of Amsterdam,Anthropology,Undergraduate,BA,"€2,143",Netherlands,Amsterdam
Cultural Anthropology and Development Sociology,VU University Amsterdam,"Sociology, Anthropology",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Dance,ArtEZ University of the Arts - Arnhem,Performing Arts,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Arnhem
Dance,Codarts University for the Arts Rotterdam,Dance,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
Dance,Royal Conservatoire The Hague,Dance,Undergraduate,BMus,"EUR 2,143",Netherlands,The Hague (Den Haag)
Dance Academy (Theatre Dance and Choreography),Fontys University of Applied Sciences - Tilburg,Performing Arts,Undergraduate,BA,"EUR 2,143",Netherlands,Tilburg
Data Science (Joint degree with Eindhoven University of Technology),Tilburg University,Computer Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
Data Science (Joint degree with Tilburg University),Eindhoven University of Technology,Computer Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Data Science and Knowledge Engineering,Maastricht University,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
Design,Design Academy Eindhoven,Design,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Design,Hanze University of Applied Sciences,"Design, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Design Lab,Gerrit Rietveld Academy,Design,Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Dutch Studies,Leiden University,"Languages, Humanities",Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
Early Music,Royal Conservatoire The Hague,Music,Undergraduate,Bachelor,"EUR 2,143",Netherlands,The Hague (Den Haag)
Econometrics,University of Amsterdam,"Economics, Mathematics",Undergraduate,BSc,"EUR 2,143",Netherlands,Amsterdam
Econometrics and Economics (Double Degree),Erasmus University Rotterdam,"Economics, Mathematics",Undergraduate,BSc,"EUR 2,143",Netherlands,Rotterdam
Econometrics and Operations Research,Erasmus University Rotterdam,"Business , Mathematics",Undergraduate,BSc,"EUR 2,143",Netherlands,Rotterdam
Econometrics and Operations Research,Maastricht University,"Economics, Mathematics",Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
Econometrics and Operations Research,Tilburg University,"Mathematics, Economics",Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
Econometrics and Operations Research,University of Groningen,"Economics, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Econometrics and Operations Research - Econometrics and Data Science,VU University Amsterdam,"Economics, Computer Science",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Econometrics and Philosophy,Erasmus University Rotterdam,"Economics, Social Sciences",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Economics,Tilburg University,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
Economics & Business Economics,Erasmus University Rotterdam,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Rotterdam
Economics and Business,University of Amsterdam,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Amsterdam
Economics and Business Economics,Maastricht University,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
Economics and Business Economics,Maastricht University,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
Economics and Business Economics,University of Amsterdam,"Economics, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Amsterdam
Economics and Business Economics,University of Groningen,"Economics, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Economics and Business Economics,University of Utrecht,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Utrecht
Economics and Business Economics,VU University Amsterdam,"Economics, Business",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Economics and Management,Wittenborg University of Applied Sciences,Business,Undergraduate,BBA,"EUR 7,500",Netherlands,Apeldoorn
"Economics and Philosophy (Double Degree, 4 Years)",Erasmus University Rotterdam,"Economics, Social Sciences",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Electrical and Electronic Engineering,Fontys University of Applied Sciences - Eindhoven,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Electrical and Electronic Engineering,HAN University of Applied Sciences - Arnhem,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Arnhem
Electrical and Electronic Engineering,Saxion University of Applied Sciences - Enschede,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Electrical and Electronic Engineering - Sensor Technology,Hanze Institute of Engineering,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Assen
Electrical Engineering,Eindhoven University of Technology,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Electrical Engineering,University of Twente,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
English Language and Culture,Leiden University,English,Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
English Language and Culture,Radboud University,English,Undergraduate,BA,"EUR 2,143",Netherlands,Nijmegen
English Language and Culture,University of Amsterdam,English,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
English Language and Culture,University of Groningen,"English, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
English Language and Culture,University of Utrecht,English,Undergraduate,BA,"EUR 2,143",Netherlands,Utrecht
Entrepreneurship and Small Business,"Wittenborg University of Applied Sciences, Amsterdam",Business,Undergraduate,BBA,"EUR 9,800",Netherlands,Amsterdam
Environmental Sciences for Sustainable Energy and Technology,Avans University of Applied Sciences,"Environment, Technology",Undergraduate,Bachelor of Applied Sciences (BAS),"EUR 2,143",Netherlands,Breda
European Food Business,Aeres University of Applied Sciences - Almere,"Food, Business",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Almere
European Languages and Culture,University of Groningen,"Languages, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
European Law,Maastricht University,Law,Undergraduate,LLB,"EUR 2,143",Netherlands,Maastricht
European Public Health,Maastricht University,Health,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
European Studies,Maastricht University,Humanities,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
European Studies,The Hague University of Applied Sciences,Social Sciences,Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
European Studies,University of Amsterdam,"Humanities, Social Sciences",Undergraduate,BA,"EUR 2,143",Netherlands,Amsterdam
European Studies,Zuyd University of Applied Sciences,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
European Studies (Fast Track),The Hague University of Applied Sciences,International Relations,Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
Event Management,Wittenborg University of Applied Sciences,"Hospitality, Management",Undergraduate,BBA,"EUR 7,500",Netherlands,Apeldoorn
Extended Contemporary Dance,Amsterdam University of the Arts,"Dance, Performing Arts",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Fashion,AMFI - Amsterdam Fashion Institute,Fashion,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Fashion,Gerrit Rietveld Academy,"Fashion, Design",Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Fashion and Textile Technologies,Saxion University of Applied Sciences - Enschede,"Fashion, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Fashion Business,Amsterdam Fashion Academy,"Fashion, Business",Undergraduate,Bachelor,"€15,950",Netherlands,Amsterdam
Fashion Design,ArtEZ University of the Arts - Arnhem,Fashion,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Arnhem
Fashion Design,Willem de Kooning Academie,"Fashion, Design",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Finance and Control  - International Finance and Control,Fontys University of Applied Sciences - Venlo,Finance,Undergraduate,BSc,"EUR 2,143",Netherlands,Venlo
Financial Services Management,Wittenborg University of Applied Sciences,Business,Undergraduate,BBA,"EUR 7,500",Netherlands,Apeldoorn
Fine Art,Gerrit Rietveld Academy,Arts,Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Fine Art,Royal Academy of the Arts The Hague,Arts,Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
Fine Art,Willem de Kooning Academie,"Arts, Design",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Fine Arts,ArtEZ University of the Arts - Enschede,Arts,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Enschede
Fine Arts,Hanze University of Applied Sciences,"Arts, Art History",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Fine Arts,HKU University of the Arts Utrecht,Arts,Undergraduate,Bachelor of Fine Art (BFA),"EUR 2,143",Netherlands,Utrecht
Food Technology - Food Innovation Management,Van Hall Larenstein - Velp,"Nutrition, Chemistry",Undergraduate,BSc,"EUR 2,143",Netherlands,Velp
Food Technology - Food Safety and Health,Van Hall Larenstein - Velp,"Nutrition, Chemistry",Undergraduate,BSc,"EUR 2,143",Netherlands,Velp
Game Design,Hanze University of Applied Sciences,"Game Design, Computer Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Global Law,Tilburg University,Law,Undergraduate,LLB,"EUR 2,143",Netherlands,Tilburg
Global Management of Social Issues,Tilburg University,"Social Sciences, International Relations",Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
Global Project and Change Management,Windesheim Honours College,"International Relations, Management",Undergraduate,BBA (Bachelor of Business Administration),"EUR 2,143",Netherlands,Zwolle
Global Responsibility and Leadership,"University College Friesland, University of Groningen",Social Sciences,Undergraduate,BA,"€4,130",Netherlands,Leeuwarden
Global Sustainability Science,University of Utrecht,"Science, Environment",Undergraduate,BSc,"EUR 2,143",Netherlands,Utrecht
Graphic Design,ArtEZ University of the Arts - Arnhem,"Design, Arts",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Arnhem
Graphic Design,Gerrit Rietveld Academy,Design,Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Graphic Design,Royal Academy of the Arts The Hague,"Design, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
Graphic Design,Willem de Kooning Academie,"Design, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Historical Performance,HKU University of the Arts Utrecht,Music,Undergraduate,Bachelor of Music,"EUR 2,143",Netherlands,Utrecht
History,Erasmus University Rotterdam,"History, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
History,University of Groningen,"History, Humanities",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
History,University of Utrecht,History,Undergraduate,BA,"EUR 2,143",Netherlands,Utrecht
History - History and International Studies,VU University Amsterdam,History,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Horticulture and Business Management,HAS University of Applied Sciences - Den Bosch,"Business , Horticulture",Undergraduate,BBA,"EUR 2,143",Netherlands,Den Bosch
Hospitality Management,Amsterdam Business School (UIBS),Hospitality,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Hospitality Management,"Hotel School, The Hague",Hospitality,Undergraduate,BBA,"€3,300 (plus €6,500 in first year)",Netherlands,The Hague (Den Haag)
Hospitality Management,"Hotel School, The Hague - Amsterdam","Hospitality, Management",Undergraduate,BBA,"€3,300 (plus €6,500 in first year)",Netherlands,Amsterdam
Hotel and Event Management (3 years),TIO - Utrecht,Hospitality,Undergraduate,BBA,"€18,500",Netherlands,Utrecht
Hotel and Event Management (4 years),TIO - Amsterdam,Hospitality,Undergraduate,BBA,"€18,500",Netherlands,Amsterdam
Hotel and Event Management (4 years),TIO - Utrecht,Hospitality,Undergraduate,BBA,"€18,500",Netherlands,Utrecht
Hotel and Event Management (Fast track),TIO - Amsterdam,"Hospitality, Management",Undergraduate,BBA,"€18,500",Netherlands,Amsterdam
Hotel Management,Saxion University of Applied Sciences - Apeldoorn,"Hospitality, Leisure",Undergraduate,BBA,"EUR 2,143",Netherlands,Apeldoorn
Hotel Management,Zuyd University of Applied Sciences,Hospitality,Undergraduate,BSc,"€3,350",Netherlands,Maastricht
Hotel Management (4 years),Breda University of Applied Sciences,Hospitality,Undergraduate,BBA,"EUR 2,143",Netherlands,Breda
"Hotel Management (Fast track, 3 years)",Breda University of Applied Sciences,"Hospitality, Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Breda
Human Geography and Planning,University of Groningen,Policy,Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Human Resource Studies - People Management,Tilburg University,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
ICT & Software Engineering,Fontys University of Applied Sciences - Eindhoven,"Engineering, IT",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
ICT and Business,Fontys University of Applied Sciences - Eindhoven,"IT, Business",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Eindhoven
ICT and Infrastructure,Fontys University of Applied Sciences - Eindhoven,IT,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
ICT and Media Design,Fontys University of Applied Sciences - Eindhoven,"IT, Media",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
ICT and Technology,Fontys University of Applied Sciences - Eindhoven,"IT, Technology",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Illustration,Willem de Kooning Academie,"Design, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Industrial Design,Eindhoven University of Technology,"Design, Engineering",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Industrial Design Engineering,The Hague University of Applied Sciences,Design,Undergraduate,BSc,"EUR 2,143",Netherlands,The Hague (Den Haag)
Industrial Design Engineering,University of Twente,"Design, Technology",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Industrial Engineering,Eindhoven University of Technology,"Engineering, Management",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Industrial Engineering and Management,Avans University of Applied Sciences,"Engineering, Management",Undergraduate,Bachelor of Applied Sciences (BAS),"EUR 2,143",Netherlands,Breda
Industrial Engineering and Management,Fontys University of Applied Sciences - Eindhoven,"Engineering, Management",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Industrial Engineering and Management,HZ University of Applied Science,"Engineering, Management",Undergraduate,BSc,"EUR 2,143",Netherlands,Vlissingen
Industrial Engineering and Management,University of Groningen,"Engineering, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Industrial Engineering and Management,University of Twente,"Engineering, Management",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Information and Communication Technology - Software Engineering,Saxion University of Applied Sciences - Deventer,"Computer Science, IT",Undergraduate,BSc,"EUR 2,143",Netherlands,Deventer
Information Management,Wittenborg University of Applied Sciences,Business,Undergraduate,BBA,"EUR 7,500",Netherlands,Apeldoorn
Information Technology,Inholland University of Applied Sciences - Haarlem,IT,Undergraduate,BSc,"EUR 2,143",Netherlands,Haarlem
Information Technology,NHL Stenden University of Applied Sciences - Emmen,IT,Undergraduate,Bachelor of Science (BSc),"EUR 2,143",Netherlands,Emmen
Interaction Design,ArtEZ University of the Arts - Arnhem,Design,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Arnhem
Interactive Media Design,Royal Academy of the Arts The Hague,"Design, Media",Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
Interdisciplinary Arts,Zuyd University of Applied Sciences,"Design, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,Maastricht
Interior Architecture and Furniture Design,Royal Academy of the Arts The Hague,"Design, Architecture",Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
International and European Law,The Hague University of Applied Sciences,Law,Undergraduate,LLB,"EUR 2,143",Netherlands,The Hague (Den Haag)
International and European Law,University of Groningen,Law,Undergraduate,LLB,"EUR 2,143",Netherlands,Groningen
